Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
34.3,-0.8147,0.1741,-20.1619,-1.239722,8.475976,5.306084,-0.100182,-0.156137,0.013073,0
34.4,-0.8719,-1.945,-20.63,-1.266042,8.618229,4.285426,-0.007178,-0.020128,0.165514,0
34.5,-0.5584,-3.4866,-21.2001,-0.901975,8.179625,4.466682,0.006109,-0.02419,0.16081,0
34.6,-0.1763,-4.3856,-21.9081,-0.847179,8.695039,4.916174,-0.01295,-0.01521,0.186344,0
34.7,0.0262,-5.6467,-22.3867,-0.437169,8.129136,5.172325,-0.003085,0.128312,0.278402,0
34.8,0.2528,-6.4086,-22.8591,-0.300897,8.105687,5.591428,-0.088362,0.239062,0.28842,0
34.9,0.3287,-7.1712,-23.2615,-0.332842,8.632706,4.300501,0.00565,0.182679,0.085277,0
35.0,0.4077,-7.9712,-23.7234,-0.454875,8.271629,4.860062,0.005681,0.11976,0.014172,0
35.1,0.3817,-8.6578,-24.0609,-0.269312,8.670632,5.138826,-0.004429,0.152808,0.017562,0
35.2,0.8681,-9.0965,-24.027,0.031705,8.528767,4.884648,0.017753,0.152067,-0.052038,0
35.3,1.1197,-9.5465,-24.2915,-0.590309,8.195896,5.040959,0.090286,0.109864,-0.161421,0
35.4,1.5328,-10.0804,-24.2937,-1.058824,8.187282,5.092644,0.084299,-0.006017,-0.17483,0
35.5,1.6934,-10.6397,-23.9971,-1.211965,8.632586,4.664449,-0.02978,0.038943,-0.042944,0
35.6,1.4795,-10.928,-23.5114,-0.674298,8.332526,4.679643,0.03711,0.097341,0.018906,0
35.7,1.1118,-11.4736,-22.6541,-0.498425,8.671948,4.748796,0.071899,-0.057452,-0.158947,0
35.8,0.6374,-11.6176,-21.9441,-0.778265,8.503015,4.321198,0.020739,-0.178189,-0.207877,0
35.9,-0.0492,-12.0864,-21.357,-1.057867,8.333842,6.220501,-0.025778,-0.080604,-0.006017,0
36.0,-0.3575,-12.2647,-20.6038,-1.262453,8.344969,4.158486,0.017593,0.045296,0.130572,0
36.1,-0.4225,-12.2127,-20.0927,-0.341336,8.303812,5.230351,0.086193,0.132191,0.140713,0
36.2,0.1622,-12.1441,-19.5221,-0.402144,8.351998,5.006682,-0.063759,0.063377,0.024854,0
36.3,0.374,-12.3051,-19.7717,-0.914896,8.776156,4.588596,-0.013958,-0.012614,-0.064294,0
36.4,1.0621,-12.1687,-19.7364,-0.72347,8.472267,3.482634,0.060201,-0.013958,-0.056413,0
36.5,1.4523,-11.9578,-20.2255,-0.343849,8.282995,4.888537,-0.111575,0.025381,-0.017288,0
36.6,1.8786,-11.76,-21.0298,-1.555095,8.373563,5.881917,0.02642,0.018295,-0.075747,0
36.7,2.2836,-11.5982,-21.7452,-0.970409,8.15438,4.149394,-0.09557,-0.100182,-0.033872,0
36.8,2.3645,-11.7342,-22.4415,-1.228595,8.220542,4.508915,0.071013,-0.00058,0.039798,0
36.9,2.4432,-11.9032,-22.7722,-0.905683,8.993663,5.236931,-0.109436,0.069303,0.130664,0
37.0,2.0605,-12.114,-22.7092,-0.364666,8.298189,4.871906,-0.009132,0.087598,0.061942,0
37.1,1.2453,-12.3678,-22.4263,-0.73352,8.140981,5.385885,-0.000122,0.010751,-0.068539,0
37.2,0.4472,-12.4253,-21.8496,-0.511586,8.5949,4.758248,0.071318,-0.087323,-0.159772,0
37.3,-0.2458,-12.6496,-21.0149,-0.763311,8.579705,5.156413,0.054795,-0.030299,-0.097067,0
37.4,-0.2849,-12.0784,-19.716,-0.817149,7.980811,4.627719,-0.003016,0.005689,-0.04444,0
37.5,-0.1406,-11.1415,-18.9197,-1.00355,8.377272,5.212046,-0.067745,-0.055528,-0.094195,0
37.6,0.5605,-10.4418,-18.3703,-0.980698,8.892088,5.185845,-0.061239,-0.104397,-0.112766,0
37.7,1.6239,-9.5915,-17.9424,-0.718804,8.449176,3.859623,0.051435,-0.073426,-0.103816,0
37.8,2.504,-8.9854,-17.67,-0.475693,8.112506,5.621697,-0.062247,-0.086896,-0.12874,0
37.9,3.5808,-8.0754,-17.5395,-0.990987,8.257631,5.206782,0.047648,-0.185489,-0.220003,0
38.0,3.9681,-7.6269,-18.0229,-1.22034,8.05448,4.65069,-0.00785,-0.289336,-0.219911,0
38.1,4.7609,-7.1767,-18.6085,-1.849532,8.830832,5.021339,-0.058948,-0.285213,-0.054397,0
38.2,5.2447,-6.76,-19.4652,-1.381137,8.643115,4.376233,0.056291,-0.10513,0.173394,0
38.3,5.4651,-6.5026,-20.4564,-1.058585,8.383015,4.370849,0.043707,-0.078252,0.160352,0
38.4,5.2534,-6.1818,-21.2784,-1.058944,8.505886,4.934359,0.045357,-0.118874,0.16869,0
38.5,4.946,-5.4822,-21.9748,-0.627278,8.269356,5.51091,0.051038,0.100457,0.36322,0
38.6,4.8945,-5.6987,-22.4578,-0.086441,7.951798,4.352993,-0.025695,0.174898,0.326316,0
38.7,4.8423,-5.7617,-22.8085,-0.17324,8.420821,5.198288,-0.028924,0.062583,0.099541,0
38.8,4.5951,-6.0108,-23.1504,-0.735075,8.685587,5.106164,0.080573,0.062675,0.07981,0
38.9,4.3948,-6.1516,-23.5837,-0.862852,8.48148,4.700939,0.049174,0.119791,0.183443,0
39.0,4.2623,-6.6465,-23.9432,0.03003,8.590114,3.842036,0.037232,0.307998,0.283991,0
39.1,4.6535,-7.0068,-24.1962,-0.157328,8.416515,5.243512,-0.002169,0.33115,0.104488,0
39.2,4.4786,-7.3927,-24.6761,-0.491725,8.319246,4.907918,0.157114,0.142148,-0.128587,0
39.3,4.2322,-7.7011,-25.1959,-1.107877,8.218269,4.959963,0.032681,0.023641,-0.144103,0
39.4,3.7387,-8.0778,-25.4517,-1.125584,8.422735,4.557968,0.008063,0.065943,-0.022724,0
39.5,3.568,-8.0415,-25.2812,-0.320758,8.506843,4.720561,-0.051588,0.072785,0.055161,0
39.6,3.1128,-8.5591,-24.8884,-0.224925,8.116096,4.571009,0.052656,0.035858,-0.081092,0
39.7,2.3654,-9.1637,-24.143,-1.049851,8.817193,4.873462,-0.038118,-0.052259,-0.099754,0
39.8,1.8987,-9.5541,-23.1289,-0.792922,8.291729,5.106583,0.011759,0.032948,0.044937,0
39.9,1.4717,-9.6083,-22.1065,-0.518166,8.400722,5.7143,-0.000153,0.066096,0.058429,0
40.0,1.4677,-9.3058,-20.9552,-0.777787,8.723872,4.651528,-0.004704,0.087476,0.038454,0
40.1,1.9074,-9.284,-20.0035,-0.760319,8.343174,4.481637,-0.054947,0.132741,0.07703,0
40.2,2.1147,-8.8406,-19.3444,-1.052363,8.284072,5.062734,0.047128,0.186497,0.078007,0
40.3,2.7619,-8.1913,-18.9121,-0.64343,8.59478,4.540979,0.038332,0.172111,0.033476,0
40.4,3.5215,-7.3929,-18.9177,0.413719,8.499187,4.825964,-0.016707,0.088484,-0.121318,0
40.5,3.9456,-6.6743,-19.2254,-0.795853,8.132486,4.490012,0.023763,-0.065118,-0.346299,0
40.6,3.9213,-6.5026,-19.7187,-1.110988,8.587841,5.278806,-0.012309,-0.196057,-0.337686,0
40.7,3.7875,-6.5602,-19.8279,-1.301576,8.53448,5.200322,0.062094,-0.063163,-0.109406,0
40.8,3.5103,-6.7143,-19.7818,-0.657667,8.077332,4.592784,-0.112704,-0.104275,-0.082436,0
40.9,2.8304,-7.0237,-19.7697,-0.879482,8.807382,4.72068,-0.025351,-0.186986,-0.210229,0
41.0,2.3034,-7.92,-19.4351,-1.092324,8.469994,4.830361,-0.047228,-0.19414,-0.183603,0
41.1,1.7356,-9.1397,-18.8453,-1.204786,8.21803,4.832904,0.011301,-0.172539,-0.123242,0
41.2,0.7926,-9.8566,-18.1297,-0.880918,8.304052,5.159285,0.020097,-0.228799,-0.114537,0
41.3,0.2907,-10.3357,-17.3131,-0.956531,8.412686,5.297829,0.047861,-0.201066,-0.071624,0
41.4,0.1285,-10.66,-16.8616,-0.685903,8.492008,5.206543,0.045723,-0.180358,-0.035705,0
41.5,0.2155,-10.1747,-17.2915,-1.371685,8.399406,4.391428,-0.019181,-0.212886,-0.030451,0
41.6,0.6416,-9.8865,-18.378,-1.755614,8.687143,4.473621,0.121104,-0.063835,0.145966,0
41.7,1.1281,-9.19,-19.7955,-1.229432,8.669196,4.989394,0.046701,0.153327,0.366274,0
41.8,1.7566,-8.6627,-21.5678,-0.29348,8.185607,5.180222,0.007514,0.151342,0.221927,0
41.9,2.1474,-8.4013,-23.318,-0.778146,8.328339,4.69065,-0.093859,0.06182,0.061178,0
42.0,2.7797,-8.4523,-24.5095,-1.307678,8.354301,4.641837,0.065271,0.074281,0.044776,0
